PK,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH
1,1B1,"Hudson, NY",YYZ,"Toronto, Canada",2015,7
2,1B1,"Hudson, NY",YYZ,"Toronto, Canada",2015,12
3,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,1
4,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,3
5,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,4
6,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,5
7,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,6
8,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,7
9,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,8
10,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,9
11,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,10
12,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,11
13,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2015,12
14,ABE,"Allentown/Bethlehem/Easton, PA",MDT,"Harrisburg, PA",2015,5
15,ABE,"Allentown/Bethlehem/Easton, PA",MDT,"Harrisburg, PA",2015,6
16,ABE,"Allentown/Bethlehem/Easton, PA",YUL,"Montreal, Canada",2015,1
17,ABQ,"Albuquerque, NM",ATL,"Atlanta, GA",2015,1
18,ABQ,"Albuquerque, NM",ATL,"Atlanta, GA",2015,3
19,ABQ,"Albuquerque, NM",ATL,"Atlanta, GA",2015,4
20,ABQ,"Albuquerque, NM",ATL,"Atlanta, GA",2015,5
21,ABQ,"Albuquerque, NM",ATL,"Atlanta, GA",2015,6
22,ABQ,"Albuquerque, NM",ATL,"Atlanta, GA",2015,9
23,ABQ,"Albuquerque, NM",ATL,"Atlanta, GA",2015,10
24,ABQ,"Albuquerque, NM",BGR,"Bangor, ME",2015,1
25,ABQ,"Albuquerque, NM",MSP,"Minneapolis, MN",2015,4
26,ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ",2015,12
27,ABQ,"Albuquerque, NM",SEA,"Seattle, WA",2015,8
28,ABQ,"Albuquerque, NM",SEA,"Seattle, WA",2015,9
29,ABQ,"Albuquerque, NM",YYZ,"Toronto, Canada",2015,2
30,ABV,"Abuja, Nigeria",OPF,"Miami, FL",2015,8
31,ACA,"Acapulco, Mexico",JFK,"New York, NY",2015,3
32,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2015,2
33,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2015,3
34,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2015,5
35,ACC,"Accra, Ghana",IAD,"Washington, DC",2015,8
36,ACC,"Accra, Ghana",IAD,"Washington, DC",2015,9
37,ACC,"Accra, Ghana",IAD,"Washington, DC",2015,10
38,ACC,"Accra, Ghana",IAD,"Washington, DC",2015,11
39,ACC,"Accra, Ghana",IAD,"Washington, DC",2015,12
40,ACK,"Nantucket, MA",PVD,"Providence, RI",2015,8
41,ACK,"Nantucket, MA",YUL,"Montreal, Canada",2015,7
42,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2015,5
43,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2015,6
44,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2015,8
45,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2015,9
46,ACY,"Atlantic City, NJ",BDA,"Hamilton, Bermuda",2015,10
47,ACY,"Atlantic City, NJ",BFS,"Belfast, United Kingdom",2015,8
