PK,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH
1,02Q,ARN,"Stockholm, Sweden",JFK,"New York, NY",2016,6
2,02Q,JFK,"New York, NY",ARN,"Stockholm, Sweden",2016,5
3,02Q,JFK,"New York, NY",STN,"London, United Kingdom",2016,6
4,02Q,MAN,"Manchester, United Kingdom",MIA,"Miami, FL",2016,3
5,02Q,MIA,"Miami, FL",MAN,"Manchester, United Kingdom",2016,3
6,07Q,YHM,"Hamilton, Canada",MIA,"Miami, FL",2016,1
7,07Q,YHM,"Hamilton, Canada",MIA,"Miami, FL",2016,2
8,07Q,YHM,"Hamilton, Canada",MIA,"Miami, FL",2016,3
9,07Q,YHM,"Hamilton, Canada",MIA,"Miami, FL",2016,4
10,07Q,YHM,"Hamilton, Canada",PBI,"West Palm Beach/Palm Beach, FL",2016,1
11,07Q,YHM,"Hamilton, Canada",PBI,"West Palm Beach/Palm Beach, FL",2016,2
12,07Q,YHM,"Hamilton, Canada",PBI,"West Palm Beach/Palm Beach, FL",2016,3
13,07Q,YHM,"Hamilton, Canada",PBI,"West Palm Beach/Palm Beach, FL",2016,4
14,07Q,YVR,"Vancouver, Canada",SJC,"San Jose, CA",2016,3
15,07Q,YYC,"Calgary, Canada",BNA,"Nashville, TN",2016,5
16,07Q,YYC,"Calgary, Canada",LAS,"Las Vegas, NV",2016,4
17,07Q,YYC,"Calgary, Canada",LAS,"Las Vegas, NV",2016,5
18,07Q,YYC,"Calgary, Canada",PDX,"Portland, OR",2016,5
19,07Q,YYC,"Calgary, Canada",SJC,"San Jose, CA",2016,3
20,0BQ,BOS,"Boston, MA",STR,"Stuttgart, Germany",2016,10
21,0BQ,BOS,"Boston, MA",TEB,"Teterboro, NJ",2016,2
22,0BQ,BOS,"Boston, MA",TEB,"Teterboro, NJ",2016,4
23,0BQ,DAL,"Dallas, TX",OPF,"Miami, FL",2016,2
24,0BQ,DEN,"Denver, CO",SAF,"Santa Fe, NM",2016,2
25,0BQ,GLA,"Glasgow, United Kingdom",TEB,"Teterboro, NJ",2016,3
26,0BQ,IAD,"Washington, DC",NTE,"Nantes, France",2016,7
27,0BQ,IAD,"Washington, DC",STR,"Stuttgart, Germany",2016,6
28,0BQ,LAS,"Las Vegas, NV",SFO,"San Francisco, CA",2016,1
29,0BQ,LAX,"Los Angeles, CA",DAL,"Dallas, TX",2016,2
30,0BQ,LAX,"Los Angeles, CA",STR,"Stuttgart, Germany",2016,6
31,0BQ,LTN,"London, United Kingdom",BOS,"Boston, MA",2016,4
32,0BQ,LTN,"London, United Kingdom",TEB,"Teterboro, NJ",2016,10
33,0BQ,MKC,"Kansas City, MO",DEN,"Denver, CO",2016,2
34,0BQ,OPF,"Miami, FL",PTK,"Pontiac, MI",2016,1
35,0BQ,OPF,"Miami, FL",STR,"Stuttgart, Germany",2016,2
36,0BQ,PTK,"Pontiac, MI",BRU,"Brussels, Belgium",2016,1
37,0BQ,SAF,"Santa Fe, NM",SFO,"San Francisco, CA",2016,2
38,0BQ,SFO,"San Francisco, CA",LAX,"Los Angeles, CA",2016,2
39,0BQ,STR,"Stuttgart, Germany",BOS,"Boston, MA",2016,2
40,0BQ,STR,"Stuttgart, Germany",HIO,"Hillsboro, OR",2016,7
41,0BQ,STR,"Stuttgart, Germany",LAS,"Las Vegas, NV",2016,1
42,0BQ,STR,"Stuttgart, Germany",OPF,"Miami, FL",2016,1
43,0BQ,STR,"Stuttgart, Germany",TEB,"Teterboro, NJ",2016,6
44,0BQ,TEB,"Teterboro, NJ",BOS,"Boston, MA",2016,10
45,0BQ,TEB,"Teterboro, NJ",MKC,"Kansas City, MO",2016,2
46,0BQ,TEB,"Teterboro, NJ",STR,"Stuttgart, Germany",2016,3
47,0BQ,TEB,"Teterboro, NJ",STR,"Stuttgart, Germany",2016,4
48,0CQ,ANC,"Anchorage, AK",PEK,"Beijing, China",2016,10
49,0CQ,ANC,"Anchorage, AK",SFO,"San Francisco, CA",2016,9
50,0CQ,ATL,"Atlanta, GA",BRU,"Brussels, Belgium",2016,3
51,0CQ,BED,"Bedford, MA",ANC,"Anchorage, AK",2016,10
52,0CQ,BED,"Bedford, MA",HPN,"White Plains, NY",2016,6
53,0CQ,BGR,"Bangor, ME",ESN,"Easton, MD",2016,2
54,0CQ,BOS,"Boston, MA",FDH,"Friedrichshafen, Germany",2016,11
55,0CQ,BOS,"Boston, MA",SXF,"Berlin, Germany",2016,12
56,0CQ,BWI,"Baltimore, MD",DAL,"Dallas, TX",2016,12
57,0CQ,BWI,"Baltimore, MD",FKB,"Karlsruhe/Baden-Baden, Germany",2016,4
58,0CQ,BWI,"Baltimore, MD",MAD,"Madrid, Spain",2016,10
59,0CQ,BWI,"Baltimore, MD",TEB,"Teterboro, NJ",2016,9
60,0CQ,DAL,"Dallas, TX",LAX,"Los Angeles, CA",2016,12
61,0CQ,ESN,"Easton, MD",FKB,"Karlsruhe/Baden-Baden, Germany",2016,2
62,0CQ,EWR,"Newark, NJ",BED,"Bedford, MA",2016,10
63,0CQ,EWR,"Newark, NJ",BOS,"Boston, MA",2016,11
64,0CQ,FAB,"Farnborough, United Kingdom",TEB,"Teterboro, NJ",2016,9
65,0CQ,GOA,"Genoa, Italy",ISP,"Islip, NY",2016,7
66,0CQ,GUM,"Guam, TT",HNL,"Honolulu, HI",2016,4
67,0CQ,GUM,"Guam, TT",HNL,"Honolulu, HI",2016,12
68,0CQ,HND,"Tokyo, Japan",ANC,"Anchorage, AK",2016,9
69,0CQ,HNL,"Honolulu, HI",LAX,"Los Angeles, CA",2016,4
70,0CQ,HNL,"Honolulu, HI",LAX,"Los Angeles, CA",2016,12
71,0CQ,HPN,"White Plains, NY",ILM,"Wilmington, NC",2016,6
72,0CQ,IAD,"Washington, DC",TEB,"Teterboro, NJ",2016,6
73,0CQ,ILM,"Wilmington, NC",SCL,"Santiago, Chile",2016,6
74,0CQ,ISP,"Islip, NY",TEB,"Teterboro, NJ",2016,7
75,0CQ,LAX,"Los Angeles, CA",BWI,"Baltimore, MD",2016,4
76,0CQ,LAX,"Los Angeles, CA",BWI,"Baltimore, MD",2016,12
77,0CQ,LAX,"Los Angeles, CA",LTN,"London, United Kingdom",2016,7
78,0CQ,LAX,"Los Angeles, CA",MFE,"Mission/McAllen/Edinburg, TX",2016,12
79,0CQ,LTN,"London, United Kingdom",MSP,"Minneapolis, MN",2016,7
80,0CQ,MEC,"Manta, Ecuador",OPF,"Miami, FL",2016,1
81,0CQ,MFE,"Mission/McAllen/Edinburg, TX",BOS,"Boston, MA",2016,12
82,0CQ,MSP,"Minneapolis, MN",LAX,"Los Angeles, CA",2016,7
83,0CQ,OPF,"Miami, FL",TIX,"Titusville, FL",2016,1
84,0CQ,PVD,"Providence, RI",KNA,"Vina del Mar, Chile",2016,9
85,0CQ,PVG,"Shanghai, China",GUM,"Guam, TT",2016,12
86,0CQ,SAN,"San Diego, CA",HND,"Tokyo, Japan",2016,5
87,0CQ,SCL,"Santiago, Chile",ATL,"Atlanta, GA",2016,3
88,0CQ,SCL,"Santiago, Chile",EWR,"Newark, NJ",2016,11
89,0CQ,SCL,"Santiago, Chile",SAN,"San Diego, CA",2016,5
90,0CQ,SCL,"Santiago, Chile",TEB,"Teterboro, NJ",2016,4
91,0CQ,SCL,"Santiago, Chile",TEB,"Teterboro, NJ",2016,5
92,0CQ,SFO,"San Francisco, CA",BWI,"Baltimore, MD",2016,9
93,0CQ,SNN,"Shannon, Ireland",BGR,"Bangor, ME",2016,2
94,0CQ,SZX,"Shenzhen, China",GUM,"Guam, TT",2016,4
95,0CQ,TEB,"Teterboro, NJ",BED,"Bedford, MA",2016,6
96,0CQ,TEB,"Teterboro, NJ",BWI,"Baltimore, MD",2016,10
97,0CQ,TEB,"Teterboro, NJ",IAD,"Washington, DC",2016,5
98,0CQ,TEB,"Teterboro, NJ",LIN,"Milan, Italy",2016,5
99,0CQ,TEB,"Teterboro, NJ",PVD,"Providence, RI",2016,9
100,0CQ,TEB,"Teterboro, NJ",SCL,"Santiago, Chile",2016,4
101,0CQ,TEB,"Teterboro, NJ",SCL,"Santiago, Chile",2016,7
102,0CQ,TEB,"Teterboro, NJ",SCL,"Santiago, Chile",2016,8
103,0CQ,TIX,"Titusville, FL",FRA,"Frankfurt, Germany",2016,1
104,0CQ,YML,"Murray Bay, Canada",EWR,"Newark, NJ",2016,10
105,0CQ,YQB,"Quebec, Canada",TEB,"Teterboro, NJ",2016,5
106,0J,BFS,"Belfast, United Kingdom",SFO,"San Francisco, CA",2016,2
107,0J,BUF,"Buffalo, NY",GVA,"Geneva, Switzerland",2016,2
108,0J,EWR,"Newark, NJ",ZRH,"Zurich, Switzerland",2016,5
109,0J,FRG,"East Farmingdale, NY",YYZ,"Toronto, Canada",2016,2
110,0J,GVA,"Geneva, Switzerland",LAX,"Los Angeles, CA",2016,2
111,0J,GVA,"Geneva, Switzerland",LUK,"Cincinnati, OH",2016,4
112,0J,LAS,"Las Vegas, NV",ZRH,"Zurich, Switzerland",2016,9
113,0J,LUK,"Cincinnati, OH",YYZ,"Toronto, Canada",2016,4
114,0J,NAS,"Nassau, The Bahamas",ORF,"Norfolk, VA",2016,3
115,0J,OPF,"Miami, FL",LTN,"London, United Kingdom",2016,3
116,0J,ORL,"Orlando, FL",YUL,"Montreal, Canada",2016,2
117,0J,SNN,"Shannon, Ireland",EWR,"Newark, NJ",2016,5
118,0J,SNN,"Shannon, Ireland",TEB,"Teterboro, NJ",2016,3
119,0J,SXM,"Philipsburg, Sint Maarten",VNY,"Van Nuys, CA",2016,11
120,0J,TEB,"Teterboro, NJ",ZRH,"Zurich, Switzerland",2016,3
